No.,Broadcaster,Sniffer_Distance,RSSI,Malformed Packet
9954,6,75,-77 dBm,1
9966,6,75,-79 dBm,1
9990,6,75,-78 dBm,1
9995,6,75,-76 dBm,1
10029,6,75,-76 dBm,1
10048,6,75,-76 dBm,1
10070,6,75,-75 dBm,1
10075,6,75,-77 dBm,1
10149,6,75,-77 dBm,1
10166,6,75,-77 dBm,1
10175,6,75,-75 dBm,1
10180,6,75,-76 dBm,1
10203,6,75,-76 dBm,1
10224,6,75,-78 dBm,1
10237,6,75,-77 dBm,1
10238,6,75,-74 dBm,1
10242,6,75,-72 dBm,1
10255,6,75,-77 dBm,1
10259,6,75,-74 dBm,1
10320,6,75,-77 dBm,1
10326,6,75,-74 dBm,1
10340,6,75,-76 dBm,1
10351,6,75,-75 dBm,1
10361,6,75,-76 dBm,1
10383,6,75,-76 dBm,1
10391,6,75,-77 dBm,1
10393,6,75,-76 dBm,1
10407,6,75,-77 dBm,1
10458,6,75,-76 dBm,1
10466,6,75,-76 dBm,1
10491,6,75,-78 dBm,1
10499,6,75,-77 dBm,1
10508,6,75,-72 dBm,1
10511,6,75,-75 dBm,1
10547,6,75,-72 dBm,1
10572,6,75,-74 dBm,1
10588,6,75,-78 dBm,1
10606,6,75,-76 dBm,1
10612,6,75,-76 dBm,1
10655,6,75,-77 dBm,1
10666,6,75,-76 dBm,1
10689,6,75,-71 dBm,1
10709,6,75,-76 dBm,1
10726,6,75,-76 dBm,1
10731,6,75,-74 dBm,1
10751,6,75,-76 dBm,1
10761,6,75,-78 dBm,1
10768,6,75,-75 dBm,1
10819,6,75,-79 dBm,1
10873,6,75,-76 dBm,1
10884,6,75,-76 dBm,1
10890,6,75,-76 dBm,1
10935,6,75,-76 dBm,1
10943,6,75,-71 dBm,1
10957,6,75,-75 dBm,1
10965,6,75,-78 dBm,1
10982,6,75,-78 dBm,1
10992,6,75,-79 dBm,1
11002,6,75,-78 dBm,1
11014,6,75,-77 dBm,1
11038,6,75,-76 dBm,1
11052,6,75,-77 dBm,1
11059,6,75,-76 dBm,1
11083,6,75,-80 dBm,1
11105,6,75,-77 dBm,1
11123,6,75,-77 dBm,1
11132,6,75,-77 dBm,1
11150,6,75,-76 dBm,1
11168,6,75,-80 dBm,1
11182,6,75,-76 dBm,1
11183,6,75,-76 dBm,1
11188,6,75,-74 dBm,1
11206,6,75,-77 dBm,1
11227,6,75,-79 dBm,1
11245,6,75,-81 dBm,1
11251,6,75,-75 dBm,1
11310,6,75,-77 dBm,1
11331,6,75,-77 dBm,1
11363,6,75,-76 dBm,1
11446,6,75,-70 dBm,1
11465,6,75,-76 dBm,1
11504,6,75,-77 dBm,1
11536,6,75,-75 dBm,1
11559,6,75,-76 dBm,1
11593,6,75,-76 dBm,1
11681,6,75,-81 dBm,1
11736,6,75,-79 dBm,1
11751,6,75,-75 dBm,1
11803,6,75,-75 dBm,1
11819,6,75,-74 dBm,1
11835,6,75,-76 dBm,1
11850,6,75,-72 dBm,1
11891,6,75,-76 dBm,1
11893,6,75,-76 dBm,1
11919,6,75,-78 dBm,1
11944,6,75,-77 dBm,1
11954,6,75,-78 dBm,1
11962,6,75,-77 dBm,1
12015,6,75,-75 dBm,1
12029,6,75,-72 dBm,1
12030,6,75,-74 dBm,1
12036,6,75,-79 dBm,1
12061,6,75,-77 dBm,1
12100,6,75,-77 dBm,1
12147,6,75,-77 dBm,1
12151,6,75,-78 dBm,1
12184,6,75,-76 dBm,1
12195,6,75,-76 dBm,1
12203,6,75,-77 dBm,1
12259,6,75,-75 dBm,1
12271,6,75,-77 dBm,1
12333,6,75,-75 dBm,1
12354,6,75,-72 dBm,1
